"Building","Date.of.Session","Name.of.Session","X..of.Hours","Possible.Hours","staff_id"
"Endeavour",2016-02-18,"Google Sheets Training",2,2,"5e51a2c89fdfb5301ca4b3503069f0a1c65e5b8eed9ee1cc56e56726c90c9592"
"Endeavour",2016-03-10,"Google Classroom",2,2,"5e51a2c89fdfb5301ca4b3503069f0a1c65e5b8eed9ee1cc56e56726c90c9592"
"Discovery",2015-08-17,"Google Email Training",2,4,"54fe55de176bf90f8728a4bc87b017d15c5cd6237fae7eb6b8eadc991d1110e3"
"FHS",2015-10-01,"Google Site Training",2,2,"85ca136dbc39bcc68231d0fd1d0069f544f6fe45dc3492e7a2d703de4349058a"
"FHS",2016-03-15,"Google Classroom",2,2,"85ca136dbc39bcc68231d0fd1d0069f544f6fe45dc3492e7a2d703de4349058a"
"SLMS",2016-02-18,"Google Sheets Training",2,2,"4621eac5a334f65256bbaf8ce1b5ff488f30a4d125e8da0af0614c74df062db1"
"SLMS",2016-03-10,"Google Classroom",1.5,2,"4621eac5a334f65256bbaf8ce1b5ff488f30a4d125e8da0af0614c74df062db1"
"Hedden",2015-11-23,"ChromeBook Training",1,1,"3b3c4bd602f21898a4daefca8ceb07b257fe1cf26c596725ca6b6543b1629df9"
"Hedden",2015-11-23,"ChromeBook Training",1,1,"e97700d0fc6b59e4f537288b63b8c926b0683358806937ce9bdd4d7eea508f8f"
"Hedden",2016-03-22,"Open Lab Training",2,3,"e97700d0fc6b59e4f537288b63b8c926b0683358806937ce9bdd4d7eea508f8f"
"Hedden",2015-08-17,"Google Email Training",2,4,"6714eea5a84ba33cc57c730b2e2f675a495e7f7a40a985d0fddc530dfaf56cf6"
"Hedden",2015-08-24,"Skyward Training",2,4,"6714eea5a84ba33cc57c730b2e2f675a495e7f7a40a985d0fddc530dfaf56cf6"
"SLMS",2015-08-24,"Skyward Training",2,4,"a908308b950da41c3451750cbd265b626519793740579c7b9e4fe90ce6a1c496"
